삼성전자,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
561909.181466423,75106.38564306892,55928.80255721498,27944.899468741205,1642.2013214386084,148195.25230551325,7632.37326123111,6026.981588152515,119305.41519621473,496.2063816246041,1101.766771563331,21998.65291714544,168766.3790307782,129797.98125801023,27296.4864771726
578725.7039019804,75230.42870083108,56919.338251398876,28100.25950764304,1623.5809562602506,148705.22073809744,7634.159033373199,6079.454694288604,118292.6391706592,486.6052537046921,1111.5465627306944,22056.427975661234,167815.04509070935,129221.75793846141,27039.711856696085
584362.0991922322,75272.12069881022,57264.81381014582,28152.382064321257,1617.3522965284849,148875.8639132132,7634.803259303262,6096.933866317354,117957.64433517525,483.4279394280486,1114.8623815941667,22075.8513290928,167498.63810069696,129028.89377737587,26953.99197275691
590013.7046490073,75313.98282683405,57617.919852149724,28204.671094245263,1611.112915404281,149046.82829508698,7635.471852492576,6114.406139128481,117623.95665036804,480.2622499433387,1118.2060361113618,22095.35619356644,167182.61001162487,128835.64057262498,26868.210696423575
595680.3797190568,75356.01386164258,57978.64529424754,28257.125712727113,1604.862942270285,149218.11048873226,7636.16474230229,6131.870932491136,117291.58117708044,477.10824122508967,1121.5774598422397,22114.941972882407,166866.9769121597,128642.00183320553,26782.369696978898
601361.9836491663,75398.21257493277,58346.978870660234,28309.745031438637,1598.6025070453045,149389.7070928064,7636.881857811259,6149.327666416109,116960.5229243066,473.96596898443335,1124.976585491532,22134.608069107282,166551.75491996462,128447.9810805027,26696.470644691937
618494.9581695134,75525.80242800587,59497.51301801793,28468.582251667056,1579.7597359213385,149906.34926136502,7639.177845158256,6201.6437159824,115975.3008001072,464.61012426183817,1135.3394882446314,22194.082254398618,165608.71718288303,127863.66213969217,26438.44188720165
624234.86617589,75568.65947299925,59896.162837339325,28521.851416224246,1573.45876202216,150079.16937076667,7639.991148721594,6219.062418236889,115649.56048039625,461.51534972913436,1138.8487316359942,22214.063605081432,165295.30135006702,127668.14879105515,26352.327344197274
629988.9964432624,75611.67798099919,60302.36173887208,28575.280785787767,1567.1479834481245,150252.2867926545,7640.828319256709,6236.470165869652,115325.16164649178,458.43258623165883,1142.3853277662226,22234.122257825205,164982.37762143835,127472.27121750856,26266.163112728067
635757.2071179743,75654.85669446393,60716.09737094544,28628.869450805872,1560.8275332037854,150425.69808999574,7641.689284215265,6253.866381022217,115002.10899516348,455.36188787132346,1145.9492042838715,22254.25760478583,164669.96227278188,127276.033012158,26179.95086792534
641539.3561794687,75698.19435115112,61137.357202601794,28682.61649829346,1554.4975447860024,150599.3998202129,7642.573970788557,6271.250486303889,114680.40717096665,452.30330847703016,1149.540288007439,22274.46903654908,164358.07160359458,127079.4377796341,26093.692285553847
658968.0110720388,75829.1482886672,62446.15390714741,28844.798754849577,1535.4516927190152,151122.21310154005,7645.3696282692945,6323.324376706544,113723.45232272599,443.2008182534348,1160.4760382258796,22335.553723440986,163425.7110071903,126487.54613556429,25834.655279150586
664804.4902987907,75873.10900355544,62897.38166000345,28899.170134750362,1529.0848962097148,151297.04203056538,7646.3484681151485,6340.654279074259,113407.19920701555,440.19124750191185,1164.1752024873665,22356.06336967439,163116.0824980985,126289.559066762,25748.22811509979
670654.1954684255,75917.22228168906,63356.06828649505,28953.695281751705,1522.70923618148,151472.14410040464,7647.350661734494,6357.969192753983,113092.3193566975,437.19406071654976,1167.9011957272294,22376.6460308952,162807.06049479113,126091.23316243189,25661.763000075807
676516.9836567172,75961.48683366603,63822.20019085135,29008.37326290336,1516.3248489552984,151647.51583762045,7648.3761348210355,6375.268543832352,112778.81710225636,434.2093100592556,1171.6539398623481,22397.301088755317,162498.66142298374,125892.57209372471,25575.2616126016
682392.7118051698,76005.90136573404,64295.76360165612,29063.20314203464,1509.931871301013,151823.15376403573,7649.424812829727,6392.551759086517,112466.69672172387,431.23704740947545,1175.4333560059954,22418.02792349861,162190.9017267822,125693.57954244387,25488.725631484896
700096.1035108923,76140.03184072852,65760.90253609871,29228.59475792187,1490.7027700651315,152351.62982802305,7652.70932741825,6444.298868695706,111538.66881642447,422.39570203572663,1186.930835649648,22480.632870853915,161271.62359254784,125094.64996826742,25228.926917586166
706022.1583931162,76185.03327034725,66264.05076563114,29284.022803912045,1484.2768071492446,152528.29763870162,7653.850074993726,6461.511823337913,111232.1176617069,419.4739045164842,1190.8161350253822,22501.640588246693,160966.58618077158,124894.36851327633,25142.269353934378
